transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,date,hour,dayofweek,time_of_day,log_amount,anomaly_score,anomaly_flag,is_anomaly,tsne_x,tsne_y,umap_x,umap_y
TX100010,user_2685,Pay Bill,1383.42,Garissa,iOS,Safaricom,individual,0,0,0,2024-06-10 21:31:08,2024-06-10,21,0,Night,7.233036558348544,0.06140056644033043,1,0,-58.846027,82.10367,8.620594,-1.5817803
TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 23:33:18,2024-06-27,23,3,Night,9.174412631033691,0.07601789891825173,1,0,43.041595,-11.026639,3.8992589,-8.74565
TX100012,user_7949,Pay Bill,1743.04,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-24 19:49:50,2024-06-24,19,0,Evening,7.46395953998572,0.09475737879217477,1,0,4.3136325,-92.95023,0.5079248,1.0897822
TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-13 11:43:59,2024-06-13,11,3,Morning,7.612919959259393,0.062285941120820754,1,0,21.561213,-55.93069,3.4651144,4.5316763
TX100014,user_6311,Lipa Na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,0,0,0,2024-06-23 06:58:02,2024-06-23,6,6,Morning,8.627483336460466,0.07321871883860848,1,0,-99.201294,-59.27136,-3.3821328,-1.4787791
TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,0,1,0,2024-06-14 11:54:45,2024-06-14,11,4,Morning,5.843863206792214,0.027931769335760692,1,0,16.698889,104.33102,1.8753667,20.68558
TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-16 22:30:45,2024-06-16,22,6,Night,6.558864247355429,0.062435370370565235,1,0,30.321136,-60.700695,2.144966,5.344328
TX100017,user_2184,Lipa Na M-Pesa,12752.37,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-27 23:27:43,2024-06-27,23,3,Night,9.453550829387344,0.06250751672306504,1,0,-18.635496,10.694711,1.1581454,-4.8991795
TX100018,user_5555,Buy Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-28 16:02:31,2024-06-28,16,4,Afternoon,7.811438873817058,0.11133122141576246,1,0,34.065685,5.907809,4.7968435,-7.3852816
TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,0,1,0,2024-06-16 06:53:16,2024-06-16,6,6,Morning,5.072795990447863,0.016134452129417665,1,0,18.095135,101.87731,1.9319288,20.58279
TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,0,0,1,2024-06-11 17:11:11,2024-06-11,17,1,Evening,5.141020074658817,-0.018974211317234757,-1,1,89.96139,-57.756023,-15.607708,11.45861
TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-25 17:20:46,2024-06-25,17,1,Evening,9.02679126204708,0.062285941120820754,1,0,21.146118,-56.157276,3.4434597,4.531709
TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-12 02:34:27,2024-06-12,2,2,Night,8.886486586774996,0.07038656920219694,1,0,-66.257866,-13.760557,-0.31153816,-9.180691
TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,0,0,0,2024-06-05 01:35:12,2024-06-05,1,2,Night,7.671961860951113,0.0701233193242598,1,0,45.58597,56.692837,6.677423,1.7223892
TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,0,0,0,2024-06-01 19:48:01,2024-06-01,19,5,Evening,6.437255526687712,0.018597828896918744,1,0,-49.181747,0.8656121,0.03051115,-7.8494554
TX100025,user_3747,Deposit Cash,6207.71,Thika,iOS,Telkom Kenya,agent,0,0,0,2024-06-28 05:18:38,2024-06-28,5,4,Morning,8.73370842388017,0.0011703921727604927,1,0,-17.124262,-17.552717,2.5450883,-3.8489704
TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,iOS,Airtel,individual,0,0,1,2024-06-03 14:52:05,2024-06-03,14,0,Afternoon,7.225903508894476,0.017973733861649133,1,0,100.64888,-28.432554,-17.034592,10.878278
TX100027,user_3734,Pay Bill,1900.87,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-16 03:14:12,2024-06-16,3,6,Night,7.550592891663225,0.05280117807768547,1,0,-23.873077,68.25354,8.377051,-1.5803666
TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-21 20:24:38,2024-06-21,20,4,Evening,8.2980939508411,0.0658835997380603,1,0,42.19854,-46.644184,1.2271354,5.862374
TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 22:44:13,2024-06-04,22,1,Night,7.331119242578059,0.05945182862907272,1,0,65.81381,25.776205,3.9568222,-6.573302
TX100030,user_2899,Buy Airtime,3467.32,Meru,iOS,Safaricom,individual,0,0,0,2024-06-10 18:14:27,2024-06-10,18,0,Evening,8.151425605846613,0.06962533779145741,1,0,-43.71957,110.06264,8.7562275,-4.7359767
TX100031,user_8734,Lipa Na M-Pesa,7578.5,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-12 07:41:30,2024-06-12,7,2,Morning,8.933202513400072,0.06250751672306504,1,0,-18.635496,10.694711,1.174477,-4.8756166
TX100032,user_2267,Send Money,5587.36,Mombasa,iOS,Telkom Kenya,individual,0,0,0,2024-06-21 07:35:33,2024-06-21,7,4,Morning,8.628441142066942,0.06220178836296436,1,0,-6.3392863,5.862281,1.702889,-2.7804768
TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,0,0,0,2024-06-17 03:47:16,2024-06-17,3,0,Night,7.4284698455784755,0.004847181617221752,1,0,-40.859936,-35.667892,-3.713911,0.81740826
TX100034,user_4556,Lipa Na M-Pesa,1188.56,Eldoret,iOS,Telkom Kenya,individual,0,0,0,2024-06-07 16:49:09,2024-06-07,16,4,Afternoon,7.081338769832806,0.06762687385147764,1,0,-14.358066,14.600742,1.235196,-4.5198684
TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,0,0,0,2024-06-22 21:54:04,2024-06-22,21,5,Night,7.071276206312374,0.0787908713669147,1,0,-117.42091,36.832382,-6.819387,-4.6071
TX100036,user_9838,Lipa Na M-Pesa,1500.16,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-03 05:36:19,2024-06-03,5,0,Morning,7.313993421555486,0.06883041045338639,1,0,-37.038303,48.060417,9.521649,-2.4745314
TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-14 02:00:38,2024-06-14,2,4,Night,7.775666362413747,0.07506579025527782,1,0,10.313276,-47.9791,2.8663194,3.9028058
TX100038,user_9792,Lipa Na M-Pesa,1886.07,Thika,iOS,Airtel,individual,0,0,1,2024-06-11 00:10:16,2024-06-11,0,1,Night,7.542780640599962,0.030168675691267743,1,0,95.95961,-33.37294,-16.917376,10.776475
TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,0,0,0,2024-06-02 03:25:40,2024-06-02,3,6,Night,6.215647557996854,0.07788834294191549,1,0,-87.35844,18.414051,-5.1772246,-6.4296384
TX100040,user_8513,Deposit Cash,624.67,Eldoret,iOS,Airtel,individual,0,0,0,2024-06-17 08:36:37,2024-06-17,8,0,Morning,6.438823075554713,0.07503316915868535,1,0,-1.8255311,-70.3517,-1.6692232,1.6599375
TX100041,user_3612,Lipa Na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-14 10:48:01,2024-06-14,10,4,Morning,7.293609341441186,0.031710482653522054,1,0,-52.72298,-5.882586,-0.022607982,-7.3942046
TX100042,user_8041,Send Money,2889.89,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-25 06:21:03,2024-06-25,6,1,Morning,7.9693196921745075,0.06917364142215104,1,0,-49.758167,71.513176,7.339059,-1.634923
TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,0,0,0,2024-06-01 19:42:45,2024-06-01,19,5,Evening,8.053381552171508,-0.01776403911170199,-1,1,-36.167763,-36.807854,-3.9862294,0.04032389
TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,0,1,0,2024-06-05 15:00:37,2024-06-05,15,2,Afternoon,7.754382914819036,-0.021229683884065653,-1,1,12.286037,104.5702,1.9298368,20.810022
TX100045,user_8099,Buy Airtime,4698.32,Thika,iOS,Telkom Kenya,individual,0,0,0,2024-06-06 06:52:11,2024-06-06,6,3,Morning,8.455173096379802,0.06217070781823103,1,0,4.8795776,-4.927642,2.0249956,-3.4279327
TX100046,user_1775,Withdraw Cash,4677.92,Garissa,iOS,Airtel,individual,0,0,0,2024-06-01 12:50:29,2024-06-01,12,5,Afternoon,8.450822593049606,0.10550326374520014,1,0,12.148444,-79.23003,0.25969002,1.6241386
TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,0,0,0,2024-06-14 11:15:48,2024-06-14,11,4,Morning,7.577572418229698,0.050880997651389925,1,0,23.064585,45.60595,6.396649,2.7324169
TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 02:26:31,2024-06-07,2,4,Night,6.144443111705063,0.06473554708766543,1,0,40.324837,10.791722,4.8992124,-8.044085
TX100049,user_2585,Lipa Na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,0,0,0,2024-06-24 14:11:56,2024-06-24,14,0,Afternoon,7.880380974643175,0.05825051941660736,1,0,29.723167,-81.85126,2.581204,2.9492924
TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-12 15:30:38,2024-06-12,15,2,Afternoon,7.427994455898552,0.062321976394993095,1,0,-92.390945,25.25637,-5.6697392,-6.176478
TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,0,1,1,2024-06-19 23:54:30,2024-06-19,23,2,Night,6.254674607635275,-0.009514047961964534,-1,1,78.8543,80.86993,-3.9477773,14.818929
TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-23 14:39:07,2024-06-23,14,6,Afternoon,9.54870225067014,0.07709560688635153,1,0,33.812237,10.343928,5.0824046,-7.8691416
TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,1,0,0,2024-06-02 00:24:02,2024-06-02,0,6,Night,7.388185610746555,0.04919908752072211,1,0,99.61483,37.851807,14.691505,11.416268
TX100054,user_4843,Buy Airtime,3440.36,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-25 22:18:16,2024-06-25,22,1,Night,8.143622021074894,0.05594848568932198,1,0,3.566777,-11.784125,1.9024714,-3.4834402
TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 01:52:22,2024-06-24,1,0,Night,7.765819261843609,0.07000470218988353,1,0,39.427696,25.285082,5.129997,-8.44193
TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,0,0,0,2024-06-13 15:11:35,2024-06-13,15,3,Afternoon,6.292328110726083,0.06670432483358496,1,0,-34.979694,-55.699512,-4.8764668,1.1415435
TX100057,user_6675,Deposit Cash,200.01,Mombasa,iOS,Telkom Kenya,agent,0,0,0,2024-06-29 04:12:13,2024-06-29,4,5,Night,5.303354658065305,0.0023183150437624533,1,0,-20.075891,-13.261463,2.5972939,-3.742243
TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-23 23:05:33,2024-06-23,23,6,Night,8.143543560642884,0.05821354856355143,1,0,38.22677,-54.490505,2.3417518,5.209482
TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,0,1,0,2024-06-15 22:23:48,2024-06-15,22,5,Night,6.901757327178501,0.025550697827719127,1,0,27.223179,85.49488,2.3119762,21.172932
TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,0,0,0,2024-06-02 20:20:02,2024-06-02,20,6,Evening,6.885918584372963,0.07531804492836419,1,0,66.713684,53.56954,7.499043,0.60627806
TX100061,user_8629,Withdraw Cash,11011.01,Meru,iOS,Safaricom,individual,0,0,1,2024-06-19 15:21:00,2024-06-19,15,2,Afternoon,9.30674177436234,0.023018961303178043,1,0,81.92274,-17.712389,-16.12722,9.909191
TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,iOS,Airtel,individual,0,0,0,2024-06-01 12:54:00,2024-06-01,12,5,Afternoon,7.682095274819015,0.07206879885037537,1,0,-20.08193,-62.177536,-0.29339346,1.2507915
TX100063,user_8869,Buy Airtime,104.54,Eldoret,iOS,Telkom Kenya,individual,0,0,0,2024-06-08 15:27:43,2024-06-08,15,5,Afternoon,4.659090027977522,0.06522987641599481,1,0,-4.344005,-1.6428938,1.9358199,-3.3900895
TX100064,user_7439,Buy Airtime,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 10:45:40,2024-06-01,10,5,Morning,7.282396852077993,0.08701768221189488,1,0,60.550426,0.72998625,3.2636578,-7.7499223
TX100065,user_8892,Send Money,3073.88,Nakuru,iOS,Airtel,individual,0,0,1,2024-06-02 02:28:34,2024-06-02,2,6,Night,8.031021155088903,-0.00325413114122719,-1,1,94.94478,-21.93968,-16.740362,10.687121
TX100066,user_7863,Buy Airtime,1394.2,Nakuru,iOS,Telkom Kenya,individual,0,0,0,2024-06-27 18:50:09,2024-06-27,18,3,Evening,7.240793053154715,0.05605202673029652,1,0,2.1915665,4.195267,2.046955,-3.5497777
TX100067,user_8916,Lipa Na M-Pesa,95.27,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-17 12:43:11,2024-06-17,12,0,Afternoon,4.567156743789875,0.0682555014072091,1,0,7.596414,-90.06525,0.40801504,0.95048505
TX100068,user_9529,Buy Airtime,2056.41,Nakuru,iOS,Safaricom,individual,0,0,1,2024-06-10 14:22:34,2024-06-10,14,0,Afternoon,7.629203189188665,0.012686952772523519,1,0,83.3282,-21.745285,-16.007328,10.025164
TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-02 12:50:34,2024-06-02,12,6,Afternoon,5.973326034404727,0.07582358250216648,1,0,-92.41352,-22.532473,-1.8447895,-8.01425
TX100070,user_5887,Lipa Na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-25 22:28:59,2024-06-25,22,1,Night,8.125577732621126,0.05990836499065022,1,0,57.799843,9.730351,3.2377188,-7.647188
TX100071,user_5859,Send Money,3382.74,Garissa,iOS,Telkom Kenya,individual,0,0,0,2024-06-03 12:07:34,2024-06-03,12,0,Afternoon,8.126736885623073,0.06526525774454744,1,0,4.166822,13.964853,0.6559286,-3.6125588
TX100072,user_7331,Lipa Na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 01:07:45,2024-06-12,1,2,Night,4.910593939916029,0.07892083019389334,1,0,-84.10424,42.269005,-5.671109,-3.2918036
TX100073,user_9571,Withdraw Cash,1202.0,Machakos,Android,Telkom Kenya,individual,0,1,0,2024-06-16 03:47:17,2024-06-16,3,6,Night,7.0925737159746784,0.024492349779169142,1,0,18.084528,94.645004,1.9720147,21.807695
TX100074,user_9684,Lipa Na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,0,0,1,2024-06-09 11:07:59,2024-06-09,11,6,Morning,7.533506526555532,0.05499329986934981,1,0,68.23817,-40.871822,-17.069,11.44881
TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 19:13:06,2024-06-07,19,4,Evening,7.936599395695543,0.055392074598662466,1,0,63.736023,19.775343,3.770517,-6.3171477
TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,iOS,Airtel,individual,0,1,1,2024-06-17 08:56:21,2024-06-17,8,0,Morning,7.114549912075013,-0.02729255892346183,-1,1,76.94874,82.914215,-3.954548,14.812339
TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 00:53:26,2024-06-11,0,1,Night,7.080548249309589,0.06473554708766543,1,0,39.938896,10.643461,4.848616,-7.997792
TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-28 21:56:45,2024-06-28,21,4,Night,9.565565665679566,0.06279941733759786,1,0,19.904722,-21.713156,0.5599455,5.2356257
TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,0,0,0,2024-06-25 19:51:02,2024-06-25,19,1,Evening,5.015158382823841,0.02393996366555251,1,0,5.783899,40.848137,6.9149327,0.45159304
TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-14 17:09:47,2024-06-14,17,4,Evening,9.667764586103466,0.07114116449689323,1,0,43.761684,2.109309,4.0946817,-8.063338
TX100081,user_6463,Lipa Na M-Pesa,171.25,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-01 23:44:57,2024-06-01,23,5,Night,5.148946909893768,0.06883041045338639,1,0,-37.15347,47.541874,9.4765835,-2.4959044
TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,0,0,1,2024-06-08 04:14:16,2024-06-08,4,5,Night,7.083010259569373,0.01567180592417594,1,0,75.99965,-55.121147,-15.514164,10.19898
TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 03:47:08,2024-06-04,3,1,Night,7.776170028695124,0.05065691674809769,1,0,27.177841,21.012503,4.546831,-8.44488
TX100084,user_6258,Send Money,541.33,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-21 10:07:31,2024-06-21,10,4,Morning,6.29587467225054,0.1034560060786422,1,0,-82.78951,-15.073901,-0.65848917,-7.987574
TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,0,0,0,2024-06-11 06:30:04,2024-06-11,6,1,Morning,6.23042239071655,0.08101800208326082,1,0,-79.772606,-87.33873,-5.3806343,-0.52354085
TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-27 13:43:05,2024-06-27,13,3,Afternoon,6.944540336024137,0.07582358250216648,1,0,-92.41352,-22.532473,-1.8992603,-8.030899
TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 20:06:06,2024-06-01,20,5,Evening,9.450072764452717,0.07897329711317197,1,0,71.1743,-2.169336,5.0186253,-7.2690988
TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-12 02:50:31,2024-06-12,2,2,Night,7.42344306326497,0.06729101947811916,1,0,44.338238,-58.187077,2.660493,5.301833
TX100089,user_4561,Deposit Cash,2921.45,Thika,iOS,Airtel,individual,0,0,0,2024-06-15 19:08:17,2024-06-15,19,5,Evening,7.980177584560006,0.07549868578721147,1,0,0.02567988,-61.459324,-1.0235796,1.3006957
TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 09:06:08,2024-06-24,9,0,Morning,8.358274830906776,0.017778901613245357,1,0,69.48936,-68.22462,-15.243523,10.952489
TX100091,user_4099,Lipa Na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-22 23:49:55,2024-06-22,23,5,Night,8.465015295357658,0.07279751777677645,1,0,55.218834,4.2971582,2.3252385,-7.967624
TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-26 09:05:19,2024-06-26,9,2,Morning,8.313384020532851,0.055392074598662466,1,0,63.80154,20.209251,3.7506936,-6.269323
TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,0,0,0,2024-06-20 19:04:44,2024-06-20,19,3,Evening,7.27173845263536,0.07224342975600273,1,0,-115.37661,25.101057,-7.2028737,-4.420247
TX100094,user_4104,Buy Airtime,414.67,Machakos,iOS,Safaricom,individual,0,0,0,2024-06-26 23:20:13,2024-06-26,23,2,Night,6.029891676225963,0.06703540700784838,1,0,-31.372152,72.872246,8.800782,-3.9832025
TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-10 13:44:45,2024-06-10,13,0,Afternoon,7.055416375512467,0.07449284570850723,1,0,-79.3358,-11.732531,-0.13470896,-8.378577
TX100096,user_3454,Pay Bill,826.34,Garissa,iOS,Airtel,individual,0,0,0,2024-06-20 12:39:52,2024-06-20,12,3,Afternoon,6.718215735081705,0.06434187663835078,1,0,12.541714,-116.796394,0.85264313,1.398779
TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-12 19:45:24,2024-06-12,19,2,Evening,6.241756230341204,0.05808603512242816,1,0,76.778076,12.491418,4.177412,-6.1295238
TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 10:58:50,2024-06-11,10,1,Morning,4.475175389371905,0.07789010888063996,1,0,38.785522,2.5696251,4.0217886,-8.290292
TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-14 00:26:06,2024-06-14,0,4,Night,9.1702566465349,0.07458751998228785,1,0,-106.388466,21.280304,-6.9377894,-4.38745
TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,0,0,0,2024-06-23 13:17:29,2024-06-23,13,6,Afternoon,9.092299803160982,0.07144669758484573,1,0,-78.840775,-38.152428,0.69492406,-8.236478
TX100101,user_9110,Lipa Na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,0,0,0,2024-06-28 12:30:58,2024-06-28,12,4,Afternoon,5.204336303077143,0.06525245904869126,1,0,-85.71965,-5.9561768,-0.27149826,-6.792518
TX100102,user_4840,Deposit Cash,665.18,Nairobi,iOS,Safaricom,individual,0,0,0,2024-06-28 14:06:27,2024-06-28,14,4,Afternoon,6.501559904294229,0.06890595554146117,1,0,-19.627748,102.98676,10.881387,-4.548358
TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 17:41:37,2024-06-12,17,2,Evening,6.266915878045537,0.06086399452790775,1,0,-98.45315,18.46274,-7.1642475,-4.4017334
TX100104,user_8385,Lipa Na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,0,0,0,2024-06-06 21:26:43,2024-06-06,21,3,Night,7.053335047547983,0.018345574735814774,1,0,8.235793,-35.394096,2.2160385,3.3402355
TX100105,user_1502,Deposit Cash,798.85,Eldoret,iOS,Airtel,individual,0,0,0,2024-06-20 21:02:33,2024-06-20,21,3,Night,6.684424210087605,0.07503316915868535,1,0,-2.0676806,-70.63572,-1.6764717,1.664696
TX100106,user_7910,Pay Bill,10206.22,Thika,iOS,Airtel,individual,0,0,1,2024-06-29 23:17:50,2024-06-29,23,5,Night,9.23085059200682,0.022298294717444156,1,0,100.4656,-23.765179,-16.864206,10.836258
TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-11 04:57:48,2024-06-11,4,1,Night,5.732499498753695,0.014916726125748903,1,0,69.49656,-67.1792,-15.288357,11.028865
TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,0,0,0,2024-06-14 18:32:41,2024-06-14,18,4,Evening,6.725561713996881,0.07885917874856674,1,0,-36.454933,-94.73858,-4.439763,0.9845305
TX100109,user_1206,Lipa Na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-17 19:26:24,2024-06-17,19,0,Evening,5.6889733590024925,0.07892083019389334,1,0,-83.425964,42.269394,-5.667553,-3.2832773
TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,0,0,0,2024-06-10 03:47:32,2024-06-10,3,0,Night,9.529606136942336,0.07476440301298581,1,0,33.249043,-55.73643,1.9033039,4.812119
TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 12:34:35,2024-06-11,12,1,Afternoon,9.079356588580572,0.06903788811875122,1,0,99.7644,3.052602,2.9260454,-7.129537
