transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,date,hour,dayofweek,time_of_day,log_amount
TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,iOS,Airtel,individual,0,0,1,2024-06-03 14:52:05,2024-06-03,14,0,Afternoon,7.225903508894476
TX100027,user_3734,Pay Bill,1900.87,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-16 03:14:12,2024-06-16,3,6,Night,7.550592891663225
TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-21 20:24:38,2024-06-21,20,4,Evening,8.2980939508411
TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 22:44:13,2024-06-04,22,1,Night,7.331119242578059
TX100030,user_2899,Buy Airtime,3467.32,Meru,iOS,Safaricom,individual,0,0,0,2024-06-10 18:14:27,2024-06-10,18,0,Evening,8.151425605846613
TX100031,user_8734,Lipa Na M-Pesa,7578.5,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-12 07:41:30,2024-06-12,7,2,Morning,8.933202513400072
TX100032,user_2267,Send Money,5587.36,Mombasa,iOS,Telkom Kenya,individual,0,0,0,2024-06-21 07:35:33,2024-06-21,7,4,Morning,8.628441142066942
TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,0,0,0,2024-06-17 03:47:16,2024-06-17,3,0,Night,7.4284698455784755
TX100034,user_4556,Lipa Na M-Pesa,1188.56,Eldoret,iOS,Telkom Kenya,individual,0,0,0,2024-06-07 16:49:09,2024-06-07,16,4,Afternoon,7.081338769832806
TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,0,0,0,2024-06-22 21:54:04,2024-06-22,21,5,Night,7.071276206312374
TX100036,user_9838,Lipa Na M-Pesa,1500.16,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-03 05:36:19,2024-06-03,5,0,Morning,7.313993421555486
TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-14 02:00:38,2024-06-14,2,4,Night,7.775666362413747
TX100038,user_9792,Lipa Na M-Pesa,1886.07,Thika,iOS,Airtel,individual,0,0,1,2024-06-11 00:10:16,2024-06-11,0,1,Night,7.542780640599962
TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,0,0,0,2024-06-02 03:25:40,2024-06-02,3,6,Night,6.215647557996854
TX100040,user_8513,Deposit Cash,624.67,Eldoret,iOS,Airtel,individual,0,0,0,2024-06-17 08:36:37,2024-06-17,8,0,Morning,6.438823075554713
TX100041,user_3612,Lipa Na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-14 10:48:01,2024-06-14,10,4,Morning,7.293609341441186
TX100042,user_8041,Send Money,2889.89,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-25 06:21:03,2024-06-25,6,1,Morning,7.9693196921745075
TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,0,0,0,2024-06-01 19:42:45,2024-06-01,19,5,Evening,8.053381552171508
TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,0,1,0,2024-06-05 15:00:37,2024-06-05,15,2,Afternoon,7.754382914819036
TX100045,user_8099,Buy Airtime,4698.32,Thika,iOS,Telkom Kenya,individual,0,0,0,2024-06-06 06:52:11,2024-06-06,6,3,Morning,8.455173096379802
TX100046,user_1775,Withdraw Cash,4677.92,Garissa,iOS,Airtel,individual,0,0,0,2024-06-01 12:50:29,2024-06-01,12,5,Afternoon,8.450822593049606
TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,0,0,0,2024-06-14 11:15:48,2024-06-14,11,4,Morning,7.577572418229698
TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 02:26:31,2024-06-07,2,4,Night,6.144443111705063
TX100049,user_2585,Lipa Na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,0,0,0,2024-06-24 14:11:56,2024-06-24,14,0,Afternoon,7.880380974643175
TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-12 15:30:38,2024-06-12,15,2,Afternoon,7.427994455898552
TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,0,1,1,2024-06-19 23:54:30,2024-06-19,23,2,Night,6.254674607635275
TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-23 14:39:07,2024-06-23,14,6,Afternoon,9.54870225067014
TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,1,0,0,2024-06-02 00:24:02,2024-06-02,0,6,Night,7.388185610746555
TX100054,user_4843,Buy Airtime,3440.36,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-25 22:18:16,2024-06-25,22,1,Night,8.143622021074894
TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 01:52:22,2024-06-24,1,0,Night,7.765819261843609
TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,0,0,0,2024-06-13 15:11:35,2024-06-13,15,3,Afternoon,6.292328110726083
TX100057,user_6675,Deposit Cash,200.01,Mombasa,iOS,Telkom Kenya,agent,0,0,0,2024-06-29 04:12:13,2024-06-29,4,5,Night,5.303354658065305
TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-23 23:05:33,2024-06-23,23,6,Night,8.143543560642884
TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,0,1,0,2024-06-15 22:23:48,2024-06-15,22,5,Night,6.901757327178501
TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,0,0,0,2024-06-02 20:20:02,2024-06-02,20,6,Evening,6.885918584372963
TX100061,user_8629,Withdraw Cash,11011.01,Meru,iOS,Safaricom,individual,0,0,1,2024-06-19 15:21:00,2024-06-19,15,2,Afternoon,9.30674177436234
TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,iOS,Airtel,individual,0,0,0,2024-06-01 12:54:00,2024-06-01,12,5,Afternoon,7.682095274819015
TX100063,user_8869,Buy Airtime,104.54,Eldoret,iOS,Telkom Kenya,individual,0,0,0,2024-06-08 15:27:43,2024-06-08,15,5,Afternoon,4.659090027977522
TX100064,user_7439,Buy Airtime,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 10:45:40,2024-06-01,10,5,Morning,7.282396852077993
TX100065,user_8892,Send Money,3073.88,Nakuru,iOS,Airtel,individual,0,0,1,2024-06-02 02:28:34,2024-06-02,2,6,Night,8.031021155088903
TX100066,user_7863,Buy Airtime,1394.2,Nakuru,iOS,Telkom Kenya,individual,0,0,0,2024-06-27 18:50:09,2024-06-27,18,3,Evening,7.240793053154715
TX100067,user_8916,Lipa Na M-Pesa,95.27,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-17 12:43:11,2024-06-17,12,0,Afternoon,4.567156743789875
TX100068,user_9529,Buy Airtime,2056.41,Nakuru,iOS,Safaricom,individual,0,0,1,2024-06-10 14:22:34,2024-06-10,14,0,Afternoon,7.629203189188665
TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-02 12:50:34,2024-06-02,12,6,Afternoon,5.973326034404727
TX100070,user_5887,Lipa Na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-25 22:28:59,2024-06-25,22,1,Night,8.125577732621126
TX100071,user_5859,Send Money,3382.74,Garissa,iOS,Telkom Kenya,individual,0,0,0,2024-06-03 12:07:34,2024-06-03,12,0,Afternoon,8.126736885623073
TX100072,user_7331,Lipa Na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 01:07:45,2024-06-12,1,2,Night,4.910593939916029
TX100073,user_9571,Withdraw Cash,1202.0,Machakos,Android,Telkom Kenya,individual,0,1,0,2024-06-16 03:47:17,2024-06-16,3,6,Night,7.0925737159746784
TX100074,user_9684,Lipa Na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,0,0,1,2024-06-09 11:07:59,2024-06-09,11,6,Morning,7.533506526555532
TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 19:13:06,2024-06-07,19,4,Evening,7.936599395695543
TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,iOS,Airtel,individual,0,1,1,2024-06-17 08:56:21,2024-06-17,8,0,Morning,7.114549912075013
TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 00:53:26,2024-06-11,0,1,Night,7.080548249309589
TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-28 21:56:45,2024-06-28,21,4,Night,9.565565665679566
TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,0,0,0,2024-06-25 19:51:02,2024-06-25,19,1,Evening,5.015158382823841
TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-14 17:09:47,2024-06-14,17,4,Evening,9.667764586103466
TX100081,user_6463,Lipa Na M-Pesa,171.25,Nakuru,iOS,Safaricom,individual,0,0,0,2024-06-01 23:44:57,2024-06-01,23,5,Night,5.148946909893768
TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,0,0,1,2024-06-08 04:14:16,2024-06-08,4,5,Night,7.083010259569373
TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 03:47:08,2024-06-04,3,1,Night,7.776170028695124
TX100084,user_6258,Send Money,541.33,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-21 10:07:31,2024-06-21,10,4,Morning,6.29587467225054
TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,0,0,0,2024-06-11 06:30:04,2024-06-11,6,1,Morning,6.23042239071655
TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-27 13:43:05,2024-06-27,13,3,Afternoon,6.944540336024137
TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 20:06:06,2024-06-01,20,5,Evening,9.450072764452715
TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-12 02:50:31,2024-06-12,2,2,Night,7.42344306326497
TX100089,user_4561,Deposit Cash,2921.45,Thika,iOS,Airtel,individual,0,0,0,2024-06-15 19:08:17,2024-06-15,19,5,Evening,7.980177584560006
TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 09:06:08,2024-06-24,9,0,Morning,8.358274830906776
TX100091,user_4099,Lipa Na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-22 23:49:55,2024-06-22,23,5,Night,8.465015295357658
TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-26 09:05:19,2024-06-26,9,2,Morning,8.313384020532851
TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,0,0,0,2024-06-20 19:04:44,2024-06-20,19,3,Evening,7.27173845263536
TX100094,user_4104,Buy Airtime,414.67,Machakos,iOS,Safaricom,individual,0,0,0,2024-06-26 23:20:13,2024-06-26,23,2,Night,6.029891676225963
TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-10 13:44:45,2024-06-10,13,0,Afternoon,7.055416375512467
TX100096,user_3454,Pay Bill,826.34,Garissa,iOS,Airtel,individual,0,0,0,2024-06-20 12:39:52,2024-06-20,12,3,Afternoon,6.718215735081705
TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-12 19:45:24,2024-06-12,19,2,Evening,6.2417562303412035
TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 10:58:50,2024-06-11,10,1,Morning,4.475175389371905
TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-14 00:26:06,2024-06-14,0,4,Night,9.1702566465349
TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,0,0,0,2024-06-23 13:17:29,2024-06-23,13,6,Afternoon,9.092299803160982
TX100101,user_9110,Lipa Na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,0,0,0,2024-06-28 12:30:58,2024-06-28,12,4,Afternoon,5.204336303077143
TX100102,user_4840,Deposit Cash,665.18,Nairobi,iOS,Safaricom,individual,0,0,0,2024-06-28 14:06:27,2024-06-28,14,4,Afternoon,6.501559904294229
TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 17:41:37,2024-06-12,17,2,Evening,6.266915878045537
TX100104,user_8385,Lipa Na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,0,0,0,2024-06-06 21:26:43,2024-06-06,21,3,Night,7.053335047547983
TX100105,user_1502,Deposit Cash,798.85,Eldoret,iOS,Airtel,individual,0,0,0,2024-06-20 21:02:33,2024-06-20,21,3,Night,6.684424210087605
TX100106,user_7910,Pay Bill,10206.22,Thika,iOS,Airtel,individual,0,0,1,2024-06-29 23:17:50,2024-06-29,23,5,Night,9.23085059200682
TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-11 04:57:48,2024-06-11,4,1,Night,5.732499498753695
TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,0,0,0,2024-06-14 18:32:41,2024-06-14,18,4,Evening,6.725561713996881
TX100109,user_1206,Lipa Na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-17 19:26:24,2024-06-17,19,0,Evening,5.6889733590024925
TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,0,0,0,2024-06-10 03:47:32,2024-06-10,3,0,Night,9.529606136942336
TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 12:34:35,2024-06-11,12,1,Afternoon,9.079356588580573
TX100112,user_8721,Buy Airtime,4413.53,Kisumu,Feature Phone,Telkom Kenya,agent,0,0,0,2024-06-14 07:29:04,2024-06-14,7,4,Morning,8.392656652105158
TX100113,user_8035,Pay Bill,1942.78,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-27 08:22:59,2024-06-27,8,3,Morning,7.572389809892042
TX100114,user_2484,Withdraw Cash,738.29,Kisumu,iOS,Telkom Kenya,individual,0,0,0,2024-06-15 15:46:09,2024-06-15,15,5,Afternoon,6.6056902661629024
TX100115,user_8858,Pay Bill,876.31,Thika,iOS,Telkom Kenya,individual,0,0,0,2024-06-24 05:43:05,2024-06-24,5,0,Morning,6.776860407678744
TX100116,user_1863,Send Money,2048.42,Garissa,Android,Telkom Kenya,individual,0,0,0,2024-06-04 16:22:02,2024-06-04,16,1,Afternoon,7.625312105271839
TX100117,user_3790,Send Money,5116.92,Garissa,iOS,Airtel,individual,0,0,0,2024-06-02 19:10:22,2024-06-02,19,6,Evening,8.540503385491666
TX100118,user_8408,Send Money,1076.31,Garissa,iOS,Telkom Kenya,agent,0,0,0,2024-06-22 08:16:53,2024-06-22,8,5,Morning,6.982222472322488
TX100119,user_9755,Deposit Cash,1302.74,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-10 16:27:14,2024-06-10,16,0,Afternoon,7.172992336103399
TX100120,user_6116,Buy Airtime,3206.53,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-05 03:24:59,2024-06-05,3,2,Night,8.073256449524774
TX100121,user_7019,Send Money,950.09,Thika,iOS,Telkom Kenya,individual,0,0,0,2024-06-13 19:25:22,2024-06-13,19,3,Evening,6.857608695291545
TX100122,user_2757,Buy Airtime,3071.58,Kisumu,Android,Airtel,individual,0,0,0,2024-06-24 15:54:04,2024-06-24,15,0,Afternoon,8.030272878530026
TX100123,user_8574,Send Money,1713.61,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-22 14:02:27,2024-06-22,14,5,Afternoon,7.446940928491733
TX100124,user_7374,Deposit Cash,122.4,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 12:34:54,2024-06-27,12,3,Afternoon,4.8154311114712876
TX100125,user_7892,Pay Bill,1803.68,Nyeri,iOS,Telkom Kenya,individual,0,1,0,2024-06-15 00:50:41,2024-06-15,0,5,Night,7.498138569731522
TX100126,user_2678,Withdraw Cash,8819.34,Eldoret,Android,Airtel,agent,0,0,0,2024-06-02 02:24:44,2024-06-02,2,6,Night,9.084815697010688
TX100127,user_4242,Withdraw Cash,1214.09,Nakuru,iOS,Safaricom,individual,1,0,0,2024-06-05 08:01:56,2024-06-05,8,2,Morning,7.102573427105374
TX100128,user_5636,Send Money,1364.43,Kisumu,Android,Safaricom,agent,0,0,0,2024-06-22 08:34:43,2024-06-22,8,5,Morning,7.219224676326227
TX100129,user_2059,Withdraw Cash,238.75,Meru,Feature Phone,Safaricom,individual,0,0,0,2024-06-11 00:29:08,2024-06-11,0,1,Night,5.479596713763548
TX100130,user_7668,Send Money,3341.22,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-09 04:34:48,2024-06-09,4,6,Night,8.114390535833719
TX100131,user_4157,Send Money,6622.29,Eldoret,Android,Airtel,individual,0,0,0,2024-06-12 08:34:25,2024-06-12,8,2,Morning,8.798347504329929
TX100132,user_6915,Lipa Na M-Pesa,1523.51,Nairobi,Feature Phone,Telkom Kenya,individual,0,1,0,2024-06-19 08:54:42,2024-06-19,8,2,Morning,7.32942832593451
TX100133,user_3693,Lipa Na M-Pesa,961.66,Garissa,Android,Safaricom,individual,0,0,0,2024-06-12 05:39:25,2024-06-12,5,2,Morning,6.869700286112871
TX100134,user_4627,Lipa Na M-Pesa,10981.49,Garissa,iOS,Telkom Kenya,individual,0,0,0,2024-06-15 01:17:41,2024-06-15,1,5,Night,9.304057465310025
TX100135,user_6450,Buy Airtime,4783.72,Eldoret,iOS,Safaricom,individual,0,0,0,2024-06-03 15:40:29,2024-06-03,15,0,Afternoon,8.473182785978468
TX100136,user_2663,Lipa Na M-Pesa,2930.88,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-10 23:19:32,2024-06-10,23,0,Night,7.983399134474575
TX100137,user_6592,Send Money,1276.13,Meru,iOS,Safaricom,individual,0,0,0,2024-06-18 14:08:06,2024-06-18,14,1,Afternoon,7.152370651947479
TX100138,user_8392,Deposit Cash,873.2,Garissa,iOS,Telkom Kenya,agent,0,0,0,2024-06-17 02:54:57,2024-06-17,2,0,Night,6.773309182429214
TX100139,user_2306,Deposit Cash,4402.58,Thika,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-01 00:58:22,2024-06-01,0,5,Night,8.390173125447356
TX100140,user_7776,Pay Bill,2581.96,Eldoret,Android,Safaricom,agent,0,0,0,2024-06-03 07:33:53,2024-06-03,7,0,Morning,7.8566913071067885
TX100141,user_6864,Lipa Na M-Pesa,2573.27,Eldoret,iOS,Telkom Kenya,agent,0,0,0,2024-06-18 19:45:55,2024-06-18,19,1,Evening,7.853321277759861
TX100142,user_8526,Deposit Cash,267.99,Mombasa,Android,Safaricom,individual,1,0,0,2024-06-04 16:59:21,2024-06-04,16,1,Afternoon,5.594674204189652
TX100143,user_9901,Lipa Na M-Pesa,2512.43,Meru,Android,Airtel,individual,0,0,0,2024-06-08 07:11:22,2024-06-08,7,5,Morning,7.829403633132728
TX100144,user_6575,Pay Bill,6055.56,Mombasa,iOS,Telkom Kenya,individual,0,0,1,2024-06-07 11:51:35,2024-06-07,11,4,Morning,8.708897261119583
TX100145,user_6530,Deposit Cash,10267.89,Eldoret,Feature Phone,Safaricom,individual,0,0,0,2024-06-15 06:39:50,2024-06-15,6,5,Morning,9.23687421528972
TX100146,user_5413,Send Money,394.85,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-19 07:36:19,2024-06-19,7,2,Morning,5.981035351617443
TX100147,user_4748,Buy Airtime,3490.92,Eldoret,Android,Airtel,individual,0,0,1,2024-06-03 16:48:06,2024-06-03,16,0,Afternoon,8.15820700718962
TX100148,user_1663,Lipa Na M-Pesa,2940.47,Kisumu,Feature Phone,Safaricom,individual,1,0,0,2024-06-27 03:28:13,2024-06-27,3,3,Night,7.9866647353743785
TX100149,user_2998,Deposit Cash,7735.42,Mombasa,iOS,Airtel,agent,0,0,0,2024-06-04 17:28:33,2024-06-04,17,1,Evening,8.953694327282971
TX100150,user_8994,Deposit Cash,4869.49,Eldoret,iOS,Airtel,individual,0,0,0,2024-06-25 15:08:00,2024-06-25,15,1,Afternoon,8.49094982703161
TX100151,user_2495,Pay Bill,11759.71,Nakuru,Feature Phone,Safaricom,agent,0,0,0,2024-06-08 16:40:21,2024-06-08,16,5,Afternoon,9.372519593779833
TX100152,user_4304,Send Money,11268.91,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-05 14:30:56,2024-06-05,14,2,Afternoon,9.329891621198918
TX100153,user_4763,Withdraw Cash,895.22,Nairobi,Android,Airtel,individual,0,0,0,2024-06-11 16:46:50,2024-06-11,16,1,Afternoon,6.7981859185502564
TX100154,user_6232,Deposit Cash,4522.91,Thika,Feature Phone,Safaricom,individual,0,0,1,2024-06-23 05:02:55,2024-06-23,5,6,Morning,8.417131943138921
TX100155,user_2853,Buy Airtime,2646.48,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-24 12:16:07,2024-06-24,12,0,Afternoon,7.8813635231505215
TX100156,user_7585,Pay Bill,845.48,Eldoret,iOS,Airtel,individual,0,0,1,2024-06-22 13:29:10,2024-06-22,13,5,Afternoon,6.741086574595906
TX100157,user_2291,Deposit Cash,758.63,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-02 11:52:13,2024-06-02,11,6,Morning,6.632831472629019
TX100158,user_4581,Deposit Cash,295.96,Garissa,Android,Safaricom,individual,0,0,0,2024-06-01 20:34:03,2024-06-01,20,5,Evening,5.693597449597836
TX100159,user_8554,Pay Bill,5555.93,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-04 22:45:15,2024-06-04,22,1,Night,8.62280107647573
TX100160,user_8280,Pay Bill,1373.08,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-06 09:26:29,2024-06-06,9,3,Morning,7.225539695250362
